fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Bayern München vs RB Leipzig,Bayern München,Bayern München,RB Leipzig,6,0,6-0,10,4,19,5,13,6,13,5,2,0.63,4,0,1,656,599,0.91,1.72,-2
Bayern München vs RB Leipzig,RB Leipzig,Bayern München,RB Leipzig,6,0,6-0,1,4,12,7,7,5,13,5,0,0.37,1,0,3,388,319,0.82,0.54,-2
SC Freiburg vs FC Augsburg,SC Freiburg,SC Freiburg,FC Augsburg,1,3,1-3,4,6,16,6,12,4,14,5,4,0.6,4,0,2,458,373,0.81,2.6,1
SC Freiburg vs FC Augsburg,FC Augsburg,SC Freiburg,FC Augsburg,1,3,1-3,5,3,14,6,9,5,18,5,3,0.4,5,0,3,299,215,0.72,1.34,1
Bayer Leverkusen vs 1899 Hoffenheim,Bayer Leverkusen,Bayer Leverkusen,1899 Hoffenheim,1,2,1-2,2,3,7,2,4,3,9,6,1,0.6,0,0,3,565,489,0.87,0.71,0
Bayer Leverkusen vs 1899 Hoffenheim,1899 Hoffenheim,Bayer Leverkusen,1899 Hoffenheim,1,2,1-2,5,4,10,1,6,4,17,4,1,0.4,4,0,2,387,313,0.81,0.45,0
Eintracht Frankfurt vs Werder Bremen,Eintracht Frankfurt,Eintracht Frankfurt,Werder Bremen,4,1,4-1,5,9,18,4,15,3,9,7,2,0.53,1,0,4,467,399,0.85,2.74,-1
Eintracht Frankfurt vs Werder Bremen,Werder Bremen,Eintracht Frankfurt,Werder Bremen,4,1,4-1,5,4,10,1,4,6,9,1,3,0.47,3,0,1,433,350,0.81,0.53,-1
1. FC Heidenheim vs VfL Wolfsburg,1. FC Heidenheim,1. FC Heidenheim,VfL Wolfsburg,1,3,1-3,2,4,7,1,2,5,12,2,2,0.49,2,0,2,392,324,0.83,0.72,0
1. FC Heidenheim vs VfL Wolfsburg,VfL Wolfsburg,1. FC Heidenheim,VfL Wolfsburg,1,3,1-3,5,9,15,1,6,9,12,5,0,0.51,3,0,1,409,329,0.8,2.45,0
Union Berlin vs VfB Stuttgart,Union Berlin,Union Berlin,VfB Stuttgart,2,1,2-1,2,5,8,1,6,2,21,5,2,0.25,4,0,5,198,125,0.63,0.34,-1
Union Berlin vs VfB Stuttgart,VfB Stuttgart,Union Berlin,VfB Stuttgart,2,1,2-1,6,9,21,6,14,7,13,11,1,0.75,4,0,0,618,547,0.89,1.73,-1
FC St. Pauli vs Borussia Dortmund,FC St. Pauli,FC St. Pauli,Borussia Dortmund,3,3,3-3,7,3,11,1,8,3,13,5,4,0.51,2,0,4,484,397,0.82,1.29,0
FC St. Pauli vs Borussia Dortmund,Borussia Dortmund,FC St. Pauli,Borussia Dortmund,3,3,3-3,7,1,8,0,7,1,12,2,3,0.49,3,1,4,481,413,0.86,1.56,0
FSV Mainz 05 vs 1. FC Köln,FSV Mainz 05,FSV Mainz 05,1. FC Köln,0,1,0-1,2,5,19,12,14,5,7,8,5,0.51,0,1,1,389,302,0.78,1.52,0
FSV Mainz 05 vs 1. FC Köln,1. FC Köln,FSV Mainz 05,1. FC Köln,0,1,0-1,2,8,12,2,8,4,9,3,0,0.49,2,0,2,401,323,0.81,1.36,0
Borussia Mönchengladbach vs Hamburger SV,Borussia Mönchengladbach,Borussia Mönchengladbach,Hamburger SV,0,0,0-0,4,9,17,4,9,8,10,7,1,0.61,2,0,1,549,484,0.88,1.1,0
Borussia Mönchengladbach vs Hamburger SV,Hamburger SV,Borussia Mönchengladbach,Hamburger SV,0,0,0-0,2,3,7,2,2,5,10,6,4,0.39,1,0,4,350,282,0.81,0.41,0
Hamburger SV vs FC St. Pauli,Hamburger SV,Hamburger SV,FC St. Pauli,0,2,0-2,2,2,5,1,2,3,13,2,1,0.48,3,1,4,445,367,0.82,0.35,0
Hamburger SV vs FC St. Pauli,FC St. Pauli,Hamburger SV,FC St. Pauli,0,2,0-2,6,5,17,6,11,6,19,5,2,0.52,3,0,2,481,390,0.81,1.44,0
Werder Bremen vs Bayer Leverkusen,Werder Bremen,Werder Bremen,Bayer Leverkusen,3,3,3-3,5,7,12,0,8,4,11,3,1,0.45,4,1,1,458,386,0.84,2.59,0
Werder Bremen vs Bayer Leverkusen,Bayer Leverkusen,Werder Bremen,Bayer Leverkusen,3,3,3-3,4,3,10,3,7,3,10,7,1,0.55,3,0,2,575,510,0.89,2.1,0
1899 Hoffenheim vs Eintracht Frankfurt,1899 Hoffenheim,1899 Hoffenheim,Eintracht Frankfurt,1,3,1-3,5,10,17,2,11,6,14,4,3,0.58,2,0,3,473,393,0.83,1.37,0
1899 Hoffenheim vs Eintracht Frankfurt,Eintracht Frankfurt,1899 Hoffenheim,Eintracht Frankfurt,1,3,1-3,6,1,9,2,5,4,10,5,1,0.42,3,0,4,341,260,0.76,1.56,0
